"filename", "language", "JavaScript", "JavaScript React", "TypeScript React", "CSS", "TypeScript", "comment", "blank", "total"
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Login/Login.module.css", "CSS", 0, 0, 0, 183, 0, 0, 28, 211
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Login/LoginContainer.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 5, 20
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/Features/Features.jsx", "JavaScript React", 0, 51, 0, 0, 0, 0, 4, 55
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/Features/Features.module.css", "CSS", 0, 0, 0, 101, 0, 0, 22, 123
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/HeaderTrends/HeaderTrends.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 5, 39
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/HeaderTrends/Trends.module.css", "CSS", 0, 0, 0, 145, 0, 0, 28, 173
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/MainScreen.jsx", "JavaScript React", 0, 29, 0, 0, 0, 0, 4, 33
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/MainScreen.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Registration/RegContainer.jsx", "JavaScript React", 0, 25, 0, 0, 0, 0, 7, 32
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Registration/Registration.jsx", "JavaScript React", 0, 67, 0, 0, 0, 0, 6, 73
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/DropDown/DropDown.module.css", "CSS", 0, 0, 0, 13, 0, 0, 1, 14
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/DropDown/dropDownMenu.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 2, 17
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/withAuthRedirect.jsx", "JavaScript React", 0, 18, 0, 0, 0, 0, 6, 24
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/withClickOutside.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 3, 14
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/withRouter.jsx", "JavaScript React", 0, 19, 0, 0, 0, 0, 2, 21
"/Users/apple/Desktop/prog/projects/coinchecker/src/hooks/useFetching.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"/Users/apple/Desktop/prog/projects/coinchecker/src/hooks/useOutsideClick.js", "JavaScript", 15, 0, 0, 0, 0, 0, 2, 17
"/Users/apple/Desktop/prog/projects/coinchecker/src/hooks/useSession.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"/Users/apple/Desktop/prog/projects/coinchecker/src/hooks/useWindowDimensions/index.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 6, 28
"/Users/apple/Desktop/prog/projects/coinchecker/src/index.js", "JavaScript", 14, 0, 0, 0, 0, 1, 4, 19
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/app-reducer.js", "JavaScript", 48, 0, 0, 0, 0, 0, 5, 53
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/auth-reducer.js", "JavaScript", 114, 0, 0, 0, 0, 2, 12, 128
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/dashboard-reducer.js", "JavaScript", 159, 0, 0, 0, 0, 0, 17, 176
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 4
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/wallets-reducer.js", "JavaScript", 61, 0, 0, 0, 0, 1, 9, 71
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/redux-store.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/apple/Desktop/prog/projects/coinchecker/src/routes/routeTitle.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
"/Users/apple/Desktop/prog/projects/coinchecker/src/routes/routes.js", "JavaScript", 10, 0, 0, 0, 0, 11, 3, 24
"/Users/apple/Desktop/prog/projects/coinchecker/src/services/ChangeTitle.jsx", "JavaScript React", 0, 17, 0, 0, 0, 1, 5, 23
"/Users/apple/Desktop/prog/projects/coinchecker/src/services/only3AfterDot.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"/Users/apple/Desktop/prog/projects/coinchecker/src/services/title.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7
"/Users/apple/Desktop/prog/projects/coinchecker/src/styles/index.css", "CSS", 0, 0, 0, 356, 0, 10, 75, 441
"/Users/apple/Desktop/prog/projects/coinchecker/src/styles/theme.tsx", "TypeScript React", 0, 0, 91, 0, 0, 3, 5, 99
"/Users/apple/Desktop/prog/projects/coinchecker/src/utils/ShowImage.jsx", "JavaScript React", 0, 8, 0, 0, 0, 2, 2, 12
"Total", "-", 705, 2309, 251, 3652, 32, 102, 1144, 8195
